"Path","SizeMB","FileCount","LastModified"
"C:\Users\nolan\AppData\Local\npm-cache","813.03","3248","6/6/2026 9:01:34 PM"
"C:\Users\nolan\AppData\Local\pnpm","181.91","2252","6/11/2026 9:17:52 PM"
"C:\Users\nolan\PING\.venv","101.09","3188","6/24/2026 10:38:40 AM"
"C:\Users\nolan\PING\node_modules","32.63","1987","6/22/2026 5:52:05 PM"
"C:\Users\nolan\AppData\Local\pip","32.02","93","6/10/2026 8:42:13 PM"
"C:\Users\nolan\PING\.venv\Lib\site-packages\numpy\_core\__pycache__","0.85","26","6/24/2026 10:44:14 AM"
"C:\Users\nolan\PING\.venv\Lib\site-packages\numpy\lib\__pycache__","0.82","29","6/24/2026 10:44:14 AM"
"C:\Users\nolan\PING\.venv\Lib\site-packages\qdrant_client\__pycache__","0.72","14","6/24/2026 10:44:16 AM"
"C:\Users\nolan\PING\.venv\Lib\site-packages\pydantic\__pycache__","0.51","13","6/24/2026 10:44:15 AM"
"C:\Users\nolan\PING\.venv\Lib\site-packages\pydantic\_internal\__pycache__","0.5","24","6/24/2026 10:44:15 AM"
"C:\Users\nolan\PING\.venv\Lib\site-packages\qdrant_client\local\__pycache__","0.4","16","6/24/2026 10:44:16 AM"
"C:\Users\nolan\PING\.venv\Lib\site-packages\qdrant_client\conversions\__pycache__","0.37","3","6/24/2026 10:44:15 AM"
"C:\Users\nolan\PING\.venv\Lib\site-packages\httpx\__pycache__","0.35","17","6/24/2026 10:44:15 AM"
"C:\Users\nolan\PING\.venv\Lib\site-packages\google\protobuf\__pycache__","0.28","14","6/24/2026 10:44:15 AM"
"C:\Users\nolan\PING\.venv\Lib\site-packages\urllib3\__pycache__","0.27","12","6/24/2026 10:44:16 AM"
"C:\Users\nolan\PING\.venv\Lib\site-packages\h2\__pycache__","0.26","11","6/24/2026 10:44:16 AM"
"C:\Users\nolan\PING\.venv\Lib\site-packages\anyio\_core\__pycache__","0.25","15","6/24/2026 10:44:16 AM"
"C:\Users\nolan\PING\.venv\Lib\site-packages\hpack\__pycache__","0.21","8","6/24/2026 10:44:16 AM"
"C:\Users\nolan\PING\.venv\Lib\site-packages\grpc\aio\__pycache__","0.19","11","6/24/2026 10:44:14 AM"
"C:\Users\nolan\PING\.venv\Lib\site-packages\qdrant_client\embed\__pycache__","0.18","9","6/24/2026 10:44:15 AM"
