"Type","Total","Active","Size","Reclaimable"
"Images","16","10","39.79GB","956.1MB (2%)"
"Containers","12","7","13.78GB","13.67GB (99%)"
"Local Volumes","8","7","40.51GB","18.56GB (45%)"
"Build Cache","159","0","4.852GB","2.647GB"
"---IMAGES---","","","",""
"compose-mission-control:latest","","","908MB",""
"python:3.14-slim","","","180MB",""
"hashicorp/vault:latest","","","739MB",""
"postgres:15-alpine","","","417MB",""
"alpine:latest","","","13MB",""
"crx-gateway:1.0.0","","","208MB",""
"crx-ui-next:1.0.0","","","666MB",""
"ollama/ollama:latest","","","8.25GB",""
"qdrant/qdrant:latest","","","270MB",""
"ghcr.io/open-webui/open-webui:latest","","","6.73GB",""
"ghcr.io/open-webui/open-webui:main","","","6.73GB",""
"ai-python:latest","","","1.89GB",""
"python:3.11","","","1.61GB",""
"postgres:16","","","642MB",""
"redis:7-alpine","","","57.8MB",""
"hello-world:latest","","","25.9kB",""
"---CONTAINERS---","","","",""
"ping-mission-control","Up 3 hours","compose-mission-control","1.13MB (virtual 703MB)",""
"brain-qdrant","Up 5 hours (unhealthy)","qdrant/qdrant:latest","24.6kB (virtual 195MB)",""
"brain-openwebui","Up 6 hours (healthy)","ghcr.io/open-webui/open-webui:latest","53.5MB (virtual 5.06GB)",""
"brain-postgres","Up 6 hours (unhealthy)","postgres:15-alpine","45.1kB (virtual 301MB)",""
"brain-repo-runtime","Up 6 hours","alpine:latest","32.8kB (virtual 9.13MB)",""
"brain-ollama","Up 6 hours (unhealthy)","ollama/ollama:latest","12.3kB (virtual 4.87GB)",""
"vault","Exited (255) 6 hours ago","hashicorp/vault:latest","32.8kB (virtual 551MB)",""
"crx-gateway","Exited (1) 26 hours ago","crx-gateway:1.0.0","49.2kB (virtual 158MB)",""
"open-webui","Up 6 hours (healthy)","ghcr.io/open-webui/open-webui:main","54.7MB (virtual 5.06GB)",""
"crx-ollama-worker","Exited (0) 26 hours ago","ollama/ollama:latest","13.7GB (virtual 18.5GB)",""
"crx-ui-next","Exited (0) 26 hours ago","crx-ui-next:1.0.0","41kB (virtual 529MB)",""
"---VOLUMES---","","","",""
"02a2220afb465bcd17ae32ae03d8fc61245d616c77ba6055a9590200690d2f43","local","","",""
"08b574e9ce7ac2261abff2d9eb809b3ef9a68cf26130b979457e881c508ca546","local","","",""
"compose_ollama_data","local","","",""
"compose_openwebui_data","local","","",""
"compose_postgres_data","local","","",""
"compose_qdrant_data","local","","",""
"crx-digestion-worker_open-webui-data","local","","",""
"crx_ollama-data","local","","",""
