"SearchPath","ResolvedPath","SizeGB","Detected"
"C:\Users\nolan\AppData\Local\Google\DriveFS","NOT_FOUND","N/A","NO"
"C:\Users\nolan\AppData\Local\Google\Drive","NOT_FOUND","N/A","NO"
"C:\Users\nolan\Google Drive","NOT_FOUND","N/A","NO"
"C:\Users\nolan\My Drive","NOT_FOUND","N/A","NO"
"C:\Users\nolan\.gdrive","NOT_FOUND","N/A","NO"
"C:\ProgramData\Google\DriveFS","NOT_FOUND","N/A","NO"
"C:\Users\nolan\AppData\Local\Google\DriveFS\*\content_cache","NOT_FOUND","N/A","NO"
"C:\Users\nolan\AppData\Local\Google\DriveFS","NOT_FOUND","N/A","NO"
"gcloud CLI","","N/A","NO"
"gsutil CLI","","N/A","NO"
"rclone CLI","","N/A","NO"
