"File","Path","Type","Size","Responsibility","RuntimeRelevant","ReplayRelevant","LineageRelevant","Status","Modified"
"AGENT.md","AGENT.md","markdown","13529","constitutional law","NO","NO","NO","CRITICAL","2026-06-06 19:12:23"
"AUTHORITY_CONFLICT_REPORT.md","AUTHORITY_CONFLICT_REPORT.md","markdown","12414","audit artifact","NO","NO","NO","REFERENCE","2026-06-06 19:20:55"
"EXECUTION_REALITY_REPORT.md","EXECUTION_REALITY_REPORT.md","markdown","10678","audit artifact","NO","NO","NO","REFERENCE","2026-06-06 19:21:17"
"FILE_INVENTORY.md","FILE_INVENTORY.md","markdown","1959","audit artifact","NO","NO","NO","REFERENCE","2026-06-06 20:05:57"
"REPOSITORY_PROVENANCE_MAP.md","REPOSITORY_PROVENANCE_MAP.md","markdown","8492","audit artifact","NO","NO","NO","REFERENCE","2026-06-06 19:20:31"
"VERIFIED_EXISTING_FILES.md","VERIFIED_EXISTING_FILES.md","markdown","7300","audit artifact","NO","NO","NO","REFERENCE","2026-06-06 19:19:44"
"VERIFIED_RUNTIME_ENTRYPOINTS.md","VERIFIED_RUNTIME_ENTRYPOINTS.md","markdown","7694","audit artifact","NO","NO","NO","REFERENCE","2026-06-06 19:20:13"
"agent_permissions.md","agents\agent_permissions.md","markdown","3930","reference","NO","NO","NO","REFERENCE","2026-06-04 22:18:54"
"crx_workspace_indexer.ps1","agents\crx_workspace_indexer.ps1","other","10766","workspace graph tooling","NO","NO","YES","HIGH","2026-06-04 22:17:04"
"crx_workspace_indexer.py","agents\crx_workspace_indexer.py","python","11625","workspace graph tooling","NO","NO","YES","HIGH","2026-06-04 22:04:23"
"docker-compose.yml","agents\docker-compose.yml","yaml","2131","infrastructure scaffold","NO","NO","NO","PARTIAL","2026-06-04 22:19:05"
"Dockerfile","agents\Dockerfile","other","841","infrastructure scaffold","NO","NO","NO","PARTIAL","2026-06-04 22:19:02"
"Dockerfile.documentation","agents\Dockerfile.documentation","other","714","infrastructure scaffold","NO","NO","NO","PARTIAL","2026-06-04 22:19:09"
"Dockerfile.governance","agents\Dockerfile.governance","other","667","infrastructure scaffold","NO","NO","NO","PARTIAL","2026-06-04 22:19:10"
"Dockerfile.planner","agents\Dockerfile.planner","other","809","infrastructure scaffold","NO","NO","NO","PARTIAL","2026-06-04 22:19:07"
"Dockerfile.refactor","agents\Dockerfile.refactor","other","700","infrastructure scaffold","NO","NO","NO","PARTIAL","2026-06-04 22:19:08"
"implement_authority_reduction.ps1","agents\implement_authority_reduction.ps1","other","3587","reference","NO","NO","NO","REFERENCE","2026-06-04 22:18:13"
"requirements.txt","agents\requirements.txt","other","361","reference","NO","NO","NO","REFERENCE","2026-06-04 22:19:12"
".gitignore","knowledge\.gitignore","other","51","reference","NO","NO","NO","REFERENCE","2026-06-05 21:17:34"
"authority-legitimacy-audit.md","knowledge\authority-legitimacy-audit.md","markdown","5931","reference","NO","NO","NO","REFERENCE","2026-06-04 21:59:09"
"authority-reconstruction.md","knowledge\authority-reconstruction.md","markdown","16776","replay specification","NO","YES","NO","HIGH","2026-06-04 20:12:39"
"inventory.json","knowledge\inventory.json","json","137564","lineage inventory","NO","NO","YES","HIGH","2026-06-04 22:17:28"
"README.md","knowledge\README.md","markdown","4147","reference","NO","NO","NO","REFERENCE","2026-06-04 22:19:23"
"claim-decision-model-v0.1.md","knowledge\authoritative\claim-decision-model-v0.1.md","markdown","6123","reference","NO","NO","NO","REFERENCE","2026-06-04 19:01:52"
"claim-lifecycle-model.md","knowledge\authoritative\claim-lifecycle-model.md","markdown","11967","reference","NO","NO","NO","REFERENCE","2026-06-04 20:44:46"
"claim.schema.json","knowledge\authoritative\claim.schema.json","json","2442","constitutional schema","NO","YES","YES","CRITICAL","2026-06-04 19:01:55"
"constitutional-agent-infrastructure.md","knowledge\authoritative\constitutional-agent-infrastructure.md","markdown","11060","reference","NO","NO","NO","REFERENCE","2026-06-04 22:06:18"
"constitutional-attention-runtime.md","knowledge\authoritative\constitutional-attention-runtime.md","markdown","9245","reference","NO","NO","NO","REFERENCE","2026-06-04 22:06:29"
"constitutional-computation-pipeline-v0.1.md","knowledge\authoritative\constitutional-computation-pipeline-v0.1.md","markdown","16001","reference","NO","NO","NO","REFERENCE","2026-06-04 19:04:11"
"constitutional-database-spec.md","knowledge\authoritative\constitutional-database-spec.md","markdown","11297","reference","NO","NO","NO","REFERENCE","2026-06-04 22:04:21"
"constitutional-governance-model.md","knowledge\authoritative\constitutional-governance-model.md","markdown","9835","reference","NO","NO","NO","REFERENCE","2026-06-04 22:07:42"
"constitutional-knowledge-graph-model.md","knowledge\authoritative\constitutional-knowledge-graph-model.md","markdown","12299","lineage specification","NO","NO","YES","HIGH","2026-06-04 20:47:35"
"constitutional-media-infrastructure.md","knowledge\authoritative\constitutional-media-infrastructure.md","markdown","7249","reference","NO","NO","NO","REFERENCE","2026-06-04 22:07:27"
"constitutional-mutation-model.md","knowledge\authoritative\constitutional-mutation-model.md","markdown","12357","reference","NO","NO","NO","REFERENCE","2026-06-04 20:35:47"
"constitutional-narrative-runtime.md","knowledge\authoritative\constitutional-narrative-runtime.md","markdown","7849","reference","NO","NO","NO","REFERENCE","2026-06-04 22:07:12"
"constitutional-rule-system-v0.1.md","knowledge\authoritative\constitutional-rule-system-v0.1.md","markdown","8368","reference","NO","NO","NO","REFERENCE","2026-06-04 19:03:12"
"constitutional-runtime-model.md","knowledge\authoritative\constitutional-runtime-model.md","markdown","13015","reference","NO","NO","NO","REFERENCE","2026-06-04 20:26:53"
"constitutional-runtime-objects.md","knowledge\authoritative\constitutional-runtime-objects.md","markdown","9828","reference","NO","NO","NO","REFERENCE","2026-06-04 20:44:15"
"constitutional-state-hash-model.md","knowledge\authoritative\constitutional-state-hash-model.md","markdown","8122","constitutional schema","NO","YES","YES","CRITICAL","2026-06-04 20:34:52"
"constitutional-threat-model.md","knowledge\authoritative\constitutional-threat-model.md","markdown","5973","reference","NO","NO","NO","REFERENCE","2026-06-04 22:00:21"
"constitutional-verdict.md","knowledge\authoritative\constitutional-verdict.md","markdown","8661","reference","NO","NO","NO","REFERENCE","2026-06-04 20:15:33"
"decision-reconstruction.md","knowledge\authoritative\decision-reconstruction.md","markdown","15886","replay specification","NO","YES","NO","HIGH","2026-06-04 20:10:59"
"decision.schema.json","knowledge\authoritative\decision.schema.json","json","2259","constitutional schema","NO","YES","YES","CRITICAL","2026-06-04 19:01:58"
"distributed-constitutional-sync.md","knowledge\authoritative\distributed-constitutional-sync.md","markdown","8281","reference","NO","NO","NO","REFERENCE","2026-06-04 22:06:02"
"evaluator-upgrade-protocol.md","knowledge\authoritative\evaluator-upgrade-protocol.md","markdown","10999","reference","NO","NO","NO","REFERENCE","2026-06-04 20:32:58"
"fact-reconstruction.md","knowledge\authoritative\fact-reconstruction.md","markdown","12057","replay specification","NO","YES","NO","HIGH","2026-06-04 20:09:50"
"meaning-continuity-final-verdict.md","knowledge\authoritative\meaning-continuity-final-verdict.md","markdown","7621","reference","NO","NO","NO","REFERENCE","2026-06-04 21:56:12"
"minimal-kernel-reconstruction.md","knowledge\authoritative\minimal-kernel-reconstruction.md","markdown","7440","replay specification","NO","YES","NO","HIGH","2026-06-04 20:27:07"
"missing-primitive-analysis.md","knowledge\authoritative\missing-primitive-analysis.md","markdown","15655","reference","NO","NO","NO","REFERENCE","2026-06-04 20:14:49"
"mutation-governance-model.md","knowledge\authoritative\mutation-governance-model.md","markdown","16066","reference","NO","NO","NO","REFERENCE","2026-06-04 21:45:49"
"persistence-constitution.md","knowledge\authoritative\persistence-constitution.md","markdown","9641","constitutional law","NO","NO","NO","CRITICAL","2026-06-04 21:18:58"
"primitive-compression.md","knowledge\authoritative\primitive-compression.md","markdown","10773","reference","NO","NO","NO","REFERENCE","2026-06-04 21:17:55"
"primitive-minimum-proof.md","knowledge\authoritative\primitive-minimum-proof.md","markdown","7941","reference","NO","NO","NO","REFERENCE","2026-06-04 22:00:15"
"replay-reconstruction.md","knowledge\authoritative\replay-reconstruction.md","markdown","12330","replay specification","NO","YES","NO","HIGH","2026-06-04 20:13:00"
"rule-reconstruction.md","knowledge\authoritative\rule-reconstruction.md","markdown","14988","replay specification","NO","YES","NO","HIGH","2026-06-04 20:11:20"
"semantic-lineage-final-verdict.md","knowledge\authoritative\semantic-lineage-final-verdict.md","markdown","5854","lineage specification","NO","NO","YES","HIGH","2026-06-04 21:47:46"
"semantic-threat-model.md","knowledge\authoritative\semantic-threat-model.md","markdown","9620","reference","NO","NO","NO","REFERENCE","2026-06-04 21:47:07"
"UCIA-CONSTITUTION-v1.0.md","knowledge\authoritative\UCIA-CONSTITUTION-v1.0.md","markdown","19688","constitutional law","NO","NO","NO","CRITICAL","2026-06-04 22:10:15"
"vos-reconstruction.md","knowledge\authoritative\vos-reconstruction.md","markdown","7367","replay specification","NO","YES","NO","HIGH","2026-06-04 20:14:15"
"100-year-survivability-assessment.md","knowledge\derived\100-year-survivability-assessment.md","markdown","9396","reference","NO","NO","NO","REFERENCE","2026-06-04 21:47:40"
"agent-workflow-topology.md","knowledge\derived\agent-workflow-topology.md","markdown","13907","reference","NO","NO","NO","REFERENCE","2026-06-04 19:28:03"
"ai-memory-architecture.md","knowledge\derived\ai-memory-architecture.md","markdown","10886","reference","NO","NO","NO","REFERENCE","2026-06-04 19:29:12"
"ai-retrieval-architecture.md","knowledge\derived\ai-retrieval-architecture.md","markdown","13441","reference","NO","NO","NO","REFERENCE","2026-06-04 19:27:41"
"automation-boundary-audit.md","knowledge\derived\automation-boundary-audit.md","markdown","8982","reference","NO","NO","NO","REFERENCE","2026-06-04 19:04:24"
"canon-formation-engine.md","knowledge\derived\canon-formation-engine.md","markdown","8447","reference","NO","NO","NO","REFERENCE","2026-06-04 21:54:07"
"civilization-fork-analysis.md","knowledge\derived\civilization-fork-analysis.md","markdown","6378","reference","NO","NO","NO","REFERENCE","2026-06-04 22:00:06"
"civilization-kernel.md","knowledge\derived\civilization-kernel.md","markdown","9875","reference","NO","NO","NO","REFERENCE","2026-06-04 21:19:56"
"civilization-memory-survivability.md","knowledge\derived\civilization-memory-survivability.md","markdown","10123","reference","NO","NO","NO","REFERENCE","2026-06-04 21:56:03"
"compression-proof.md","knowledge\derived\compression-proof.md","markdown","7594","reference","NO","NO","NO","REFERENCE","2026-06-04 21:47:29"
"constitutional-primitive-reduction-audit.md","knowledge\derived\constitutional-primitive-reduction-audit.md","markdown","7623","reference","NO","NO","NO","REFERENCE","2026-06-04 19:01:39"
"context-assembly-system.md","knowledge\derived\context-assembly-system.md","markdown","13996","reference","NO","NO","NO","REFERENCE","2026-06-04 19:28:24"
"cos-mapping.md","knowledge\derived\cos-mapping.md","markdown","12049","reference","NO","NO","NO","REFERENCE","2026-06-04 20:14:02"
"creator-canonical-storage-spec-v1.md","knowledge\derived\creator-canonical-storage-spec-v1.md","markdown","13744","reference","NO","NO","NO","REFERENCE","2026-06-04 19:26:41"
"creator-computed-state-audit.md","knowledge\derived\creator-computed-state-audit.md","markdown","16968","reference","NO","NO","NO","REFERENCE","2026-06-04 19:25:25"
"creator-intelligence-runtime.md","knowledge\derived\creator-intelligence-runtime.md","markdown","11004","reference","NO","NO","NO","REFERENCE","2026-06-04 20:46:19"
"creator-primitive-reduction-audit.md","knowledge\derived\creator-primitive-reduction-audit.md","markdown","26150","reference","NO","NO","NO","REFERENCE","2026-06-04 19:17:44"
"creator-projection-generation-model.md","knowledge\derived\creator-projection-generation-model.md","markdown","12814","reference","NO","NO","NO","REFERENCE","2026-06-04 19:26:57"
"creator-retrieval-architecture.md","knowledge\derived\creator-retrieval-architecture.md","markdown","9786","reference","NO","NO","NO","REFERENCE","2026-06-04 19:26:22"
"creator-state-closure-model.md","knowledge\derived\creator-state-closure-model.md","markdown","8669","reference","NO","NO","NO","REFERENCE","2026-06-04 19:26:06"
"cvm-instruction-set-v0.1.md","knowledge\derived\cvm-instruction-set-v0.1.md","markdown","9402","reference","NO","NO","NO","REFERENCE","2026-06-04 20:32:01"
"cvm-reference-architecture-v0.1.md","knowledge\derived\cvm-reference-architecture-v0.1.md","markdown","15142","reference","NO","NO","NO","REFERENCE","2026-06-04 20:36:53"
"cvm-state-transition-model.md","knowledge\derived\cvm-state-transition-model.md","markdown","11141","reference","NO","NO","NO","REFERENCE","2026-06-04 20:32:42"
"derived-state-audit.md","knowledge\derived\derived-state-audit.md","markdown","7899","reference","NO","NO","NO","REFERENCE","2026-06-04 19:02:55"
"deterministic-replay-infrastructure.md","knowledge\derived\deterministic-replay-infrastructure.md","markdown","10133","replay specification","NO","YES","NO","HIGH","2026-06-04 22:05:03"
"distributed-cvm-model.md","knowledge\derived\distributed-cvm-model.md","markdown","10037","reference","NO","NO","NO","REFERENCE","2026-06-04 20:36:06"
"evaluator-dependency-audit.md","knowledge\derived\evaluator-dependency-audit.md","markdown","18067","reference","NO","NO","NO","REFERENCE","2026-06-04 20:21:16"
"evaluator-drift-analysis.md","knowledge\derived\evaluator-drift-analysis.md","markdown","8553","reference","NO","NO","NO","REFERENCE","2026-06-04 21:46:52"
"evaluator-execution-runtime.md","knowledge\derived\evaluator-execution-runtime.md","markdown","9119","reference","NO","NO","NO","REFERENCE","2026-06-04 22:05:13"
"evaluator-fork-analysis.md","knowledge\derived\evaluator-fork-analysis.md","markdown","9711","reference","NO","NO","NO","REFERENCE","2026-06-04 20:24:49"
"falsification-audit-final-verdict.md","knowledge\derived\falsification-audit-final-verdict.md","markdown","7406","reference","NO","NO","NO","REFERENCE","2026-06-04 22:00:29"
"identity-continuity-rules.md","knowledge\derived\identity-continuity-rules.md","markdown","10668","reference","NO","NO","NO","REFERENCE","2026-06-04 21:46:09"
"identity-persistence-audit.md","knowledge\derived\identity-persistence-audit.md","markdown","9574","reference","NO","NO","NO","REFERENCE","2026-06-04 20:25:04"
"knowledge-closure-model.md","knowledge\derived\knowledge-closure-model.md","markdown","11208","reference","NO","NO","NO","REFERENCE","2026-06-04 20:45:10"
"local-ai-survivability-audit.md","knowledge\derived\local-ai-survivability-audit.md","markdown","9567","reference","NO","NO","NO","REFERENCE","2026-06-04 19:29:28"
"mandatory-questions-answers-creator.md","knowledge\derived\mandatory-questions-answers-creator.md","markdown","15451","reference","NO","NO","NO","REFERENCE","2026-06-04 19:30:32"
"mandatory-questions-answers-p1.2.md","knowledge\derived\mandatory-questions-answers-p1.2.md","markdown","12790","reference","NO","NO","NO","REFERENCE","2026-06-04 20:15:57"
"mandatory-questions-answers-p1.3.md","knowledge\derived\mandatory-questions-answers-p1.3.md","markdown","7863","reference","NO","NO","NO","REFERENCE","2026-06-04 20:28:08"
"mandatory-questions-answers-p1.4.md","knowledge\derived\mandatory-questions-answers-p1.4.md","markdown","6088","reference","NO","NO","NO","REFERENCE","2026-06-04 20:37:03"
"mandatory-questions-answers-p2.0.md","knowledge\derived\mandatory-questions-answers-p2.0.md","markdown","5830","reference","NO","NO","NO","REFERENCE","2026-06-04 20:47:45"
"mandatory-questions-answers-p3.0.md","knowledge\derived\mandatory-questions-answers-p3.0.md","markdown","5870","reference","NO","NO","NO","REFERENCE","2026-06-04 21:20:54"
"mandatory-questions-answers.md","knowledge\derived\mandatory-questions-answers.md","markdown","9535","reference","NO","NO","NO","REFERENCE","2026-06-04 19:05:34"
"meaning-compression-proof.md","knowledge\derived\meaning-compression-proof.md","markdown","11116","reference","NO","NO","NO","REFERENCE","2026-06-04 21:55:52"
"meaning-drift-model.md","knowledge\derived\meaning-drift-model.md","markdown","10202","reference","NO","NO","NO","REFERENCE","2026-06-04 21:53:57"
"meaning-preservation-attack.md","knowledge\derived\meaning-preservation-attack.md","markdown","6540","reference","NO","NO","NO","REFERENCE","2026-06-04 21:59:58"
"meaning-primitive-audit.md","knowledge\derived\meaning-primitive-audit.md","markdown","9221","reference","NO","NO","NO","REFERENCE","2026-06-04 21:53:19"
"multi-agent-runtime-model.md","knowledge\derived\multi-agent-runtime-model.md","markdown","17077","reference","NO","NO","NO","REFERENCE","2026-06-04 20:47:12"
"multi-generational-replay.md","knowledge\derived\multi-generational-replay.md","markdown","8870","replay specification","NO","YES","NO","HIGH","2026-06-04 21:55:08"
