"module","lines","exports","path"
"formal_invariant_graph_verifier.js","317","2","C:\Users\nolan\constitutional-integration-lab\extracted\js_txt\formal_invariant_graph_verifier.js"
"merkle_anchor_adapter_misuse_tests.js","201","1","C:\Users\nolan\constitutional-integration-lab\extracted\js_txt\merkle_anchor_adapter_misuse_tests.js"
"merkle_anchor_replay_verifier.js","234","0","C:\Users\nolan\constitutional-integration-lab\extracted\js_txt\merkle_anchor_replay_verifier.js"
"merkle_anchor_replay_verifier_misuse_tests.js","283","0","C:\Users\nolan\constitutional-integration-lab\extracted\js_txt\merkle_anchor_replay_verifier_misuse_tests.js"
"cross_anchor_drift_detector.js","259","0","C:\Users\nolan\constitutional-integration-lab\extracted\js_txt\cross_anchor_drift_detector.js"
"cross_anchor_drift_misuse_tests.js","258","0","C:\Users\nolan\constitutional-integration-lab\extracted\js_txt\cross_anchor_drift_misuse_tests.js"
"cross_anchor_drift_summary.js","289","0","C:\Users\nolan\constitutional-integration-lab\extracted\js_txt\cross_anchor_drift_summary.js"
"cross_anchor_drift_summary_misuse_tests.js","303","0","C:\Users\nolan\constitutional-integration-lab\extracted\js_txt\cross_anchor_drift_summary_misuse_tests.js"
"cross_anchor_drift_summary_presentation_adapter.js","155","0","C:\Users\nolan\constitutional-integration-lab\extracted\js_txt\cross_anchor_drift_summary_presentation_adapter.js"
"merkle_anchor_chain_validator.js","220","0","C:\Users\nolan\constitutional-integration-lab\extracted\js_txt\merkle_anchor_chain_validator.js"
"merkle_anchor_chain_validator_misuse_tests.js","285","0","C:\Users\nolan\constitutional-integration-lab\extracted\js_txt\merkle_anchor_chain_validator_misuse_tests.js"
"merkle_anchor_chain_fork_graph_builder.js","284","0","C:\Users\nolan\constitutional-integration-lab\extracted\js_txt\merkle_anchor_chain_fork_graph_builder.js"
"merkle_anchor_chain_fork_graph_misuse_tests.js","261","0","C:\Users\nolan\constitutional-integration-lab\extracted\js_txt\merkle_anchor_chain_fork_graph_misuse_tests.js"
"merkle_anchor_chain_canonicalizer.js","214","0","C:\Users\nolan\constitutional-integration-lab\extracted\js_txt\merkle_anchor_chain_canonicalizer.js"
"merkle_anchor_chain_drift_detector.js","260","0","C:\Users\nolan\constitutional-integration-lab\extracted\js_txt\merkle_anchor_chain_drift_detector.js"
"merkle_anchor_chain_drift_misuse_tests.js","294","0","C:\Users\nolan\constitutional-integration-lab\extracted\js_txt\merkle_anchor_chain_drift_misuse_tests.js"
"merkle_anchor_chain_drift_summary.js","670","0","C:\Users\nolan\constitutional-integration-lab\extracted\js_txt\merkle_anchor_chain_drift_summary.js"
"merkle_anchor_chain_severity_and_divergence.js","571","0","C:\Users\nolan\constitutional-integration-lab\extracted\js_txt\merkle_anchor_chain_severity_and_divergence.js"
"merkle_anchor_chain_multi_divergence_severity.js","251","0","C:\Users\nolan\constitutional-integration-lab\extracted\js_txt\merkle_anchor_chain_multi_divergence_severity.js"
"merkle_anchor_chain_multi_graph_visualizer.js","225","0","C:\Users\nolan\constitutional-integration-lab\extracted\js_txt\merkle_anchor_chain_multi_graph_visualizer.js"
"merkle_anchor_chain_multi_graph_misuse_tests.js","332","0","C:\Users\nolan\constitutional-integration-lab\extracted\js_txt\merkle_anchor_chain_multi_graph_misuse_tests.js"
"canonical_fingerprint_service.js","479","8","C:\Users\nolan\constitutional-integration-lab\extracted\js_txt\canonical_fingerprint_service.js"
"plugin_execution_scheduler.js","383","2","C:\Users\nolan\constitutional-integration-lab\extracted\js_txt\plugin_execution_scheduler.js"
"plugin_isolation_sandbox.js","416","2","C:\Users\nolan\constitutional-integration-lab\extracted\js_txt\plugin_isolation_sandbox.js"
"plugin_contract_validator.js","423","2","C:\Users\nolan\constitutional-integration-lab\extracted\js_txt\plugin_contract_validator.js"
"plugin_contract_canonicalizer.js","272","2","C:\Users\nolan\constitutional-integration-lab\extracted\js_txt\plugin_contract_canonicalizer.js"
"execution_integrity_auditor.js","395","2","C:\Users\nolan\constitutional-integration-lab\extracted\js_txt\execution_integrity_auditor.js"
"cross_bundle_divergence_analyzer.js","430","2","C:\Users\nolan\constitutional-integration-lab\extracted\js_txt\cross_bundle_divergence_analyzer.js"
"determinism_stress_harness.js","222","2","C:\Users\nolan\constitutional-integration-lab\extracted\js_txt\determinism_stress_harness.js"
"capability_scope_auditor.js","213","2","C:\Users\nolan\constitutional-integration-lab\extracted\js_txt\capability_scope_auditor.js"
"worker_runtime_adapter.js","347","2","C:\Users\nolan\constitutional-integration-lab\extracted\js_txt\worker_runtime_adapter.js"
"resource_ceiling_enforcer.js","301","3","C:\Users\nolan\constitutional-integration-lab\extracted\js_txt\resource_ceiling_enforcer.js"
"consensus_quorum_validator.js","256","2","C:\Users\nolan\constitutional-integration-lab\extracted\js_txt\consensus_quorum_validator.js"
"structural_graph_builder.js","354","2","C:\Users\nolan\constitutional-integration-lab\extracted\js_txt\structural_graph_builder.js"
"artifact_reversibility_validator.js","401","2","C:\Users\nolan\constitutional-integration-lab\extracted\js_txt\artifact_reversibility_validator.js"
"author_projection_boundary_validator.js","381","2","C:\Users\nolan\constitutional-integration-lab\extracted\js_txt\author_projection_boundary_validator.js"
"structural_drift_guard.js","248","2","C:\Users\nolan\constitutional-integration-lab\extracted\js_txt\structural_drift_guard.js"
"suggestion_schema_enforcer.js","295","1","C:\Users\nolan\constitutional-integration-lab\extracted\js_txt\suggestion_schema_enforcer.js"
"anti_authority_field_guard.js","278","2","C:\Users\nolan\constitutional-integration-lab\extracted\js_txt\anti_authority_field_guard.js"
"overlay_rendering_contract_validator.js","388","2","C:\Users\nolan\constitutional-integration-lab\extracted\js_txt\overlay_rendering_contract_validator.js"
"artifact_firewall.js","203","2","C:\Users\nolan\constitutional-integration-lab\extracted\js_txt\artifact_firewall.js"
"projection_ephemerality_enforcer.js","207","2","C:\Users\nolan\constitutional-integration-lab\extracted\js_txt\projection_ephemerality_enforcer.js"
"snapshot_lineage_integrity_guard.js","282","2","C:\Users\nolan\constitutional-integration-lab\extracted\js_txt\snapshot_lineage_integrity_guard.js"
"plugin_registry_integrity_guard.js","273","3","C:\Users\nolan\constitutional-integration-lab\extracted\js_txt\plugin_registry_integrity_guard.js"
"deterministic_replay_harness.js","296","1","C:\Users\nolan\constitutional-integration-lab\extracted\js_txt\deterministic_replay_harness.js"
"structural_identity_stability_test_suite.js","312","3","C:\Users\nolan\constitutional-integration-lab\extracted\js_txt\structural_identity_stability_test_suite.js"
"entropy_budget_guard.js","253","3","C:\Users\nolan\constitutional-integration-lab\extracted\js_txt\entropy_budget_guard.js"
"isolated_execution_adapter.js","373","3","C:\Users\nolan\constitutional-integration-lab\extracted\js_txt\isolated_execution_adapter.js"
"adversarial_red_team_harness.js","414","2","C:\Users\nolan\constitutional-integration-lab\extracted\js_txt\adversarial_red_team_harness.js"
"semantic_delta_validator.js","358","3","C:\Users\nolan\constitutional-integration-lab\extracted\js_txt\semantic_delta_validator.js"
"authority_boundary_prover.js","343","0","C:\Users\nolan\constitutional-integration-lab\extracted\js_txt\authority_boundary_prover.js"
"constitutional_ci_gate.js","872","0","C:\Users\nolan\constitutional-integration-lab\extracted\js_txt\constitutional_ci_gate.js"
"domain_lockfile_fingerprint_guard.js","53","0","C:\Users\nolan\constitutional-integration-lab\extracted\js_txt\domain_lockfile_fingerprint_guard.js"
"domain_usage_static_analyzer.js","110","0","C:\Users\nolan\constitutional-integration-lab\extracted\js_txt\domain_usage_static_analyzer.js"
"projection_layer_isolation_guard.js","310","1","C:\Users\nolan\constitutional-integration-lab\extracted\js_txt\projection_layer_isolation_guard.js"
"runtime_adapter.js","432","4","C:\Users\nolan\constitutional-integration-lab\extracted\js_txt\runtime_adapter.js"
"worker_runtime_entry.js","71","0","C:\Users\nolan\constitutional-integration-lab\extracted\js_txt\worker_runtime_entry.js"
"evaluation_context_assembler.js","282","0","C:\Users\nolan\constitutional-integration-lab\extracted\js_txt\evaluation_context_assembler.js"
"registry_freeze_verifier.js","376","0","C:\Users\nolan\constitutional-integration-lab\extracted\js_txt\registry_freeze_verifier.js"
