document_path,authority_class,status,declared_frozen,sha256,last_modified,git_commit
constitution/TRUTH_LAW.md,CONSTITUTIONAL_LAW,FROZEN,true,PLACEHOLDER,2026-06-24,PLACEHOLDER
constitution/EVENT_LAW.md,CONSTITUTIONAL_LAW,FROZEN,true,PLACEHOLDER,2026-06-24,PLACEHOLDER
constitution/STATE_TRANSITION_LAW.md,CONSTITUTIONAL_LAW,FROZEN,true,PLACEHOLDER,2026-06-24,PLACEHOLDER
constitution/mutation_law.md,CONSTITUTIONAL_LAW,FROZEN,true,PLACEHOLDER,2026-06-24,PLACEHOLDER
constitution/TIME_LAW.md,CONSTITUTIONAL_LAW,FROZEN,true,PLACEHOLDER,2026-06-24,PLACEHOLDER
constitution/GOVERNANCE.md,GOVERNANCE_AUTHORITY,ACTIVE,false,PLACEHOLDER,2026-06-24,PLACEHOLDER
constitution/layering_law.md,CONSTITUTIONAL_LAW,FROZEN,true,PLACEHOLDER,2026-06-24,PLACEHOLDER
constitution/replay_law.md,CONSTITUTIONAL_LAW,FROZEN,true,PLACEHOLDER,2026-06-24,PLACEHOLDER
constitution/retrieval_law.md,CONSTITUTIONAL_LAW,FROZEN,true,PLACEHOLDER,2026-06-24,PLACEHOLDER
constitution/source_of_truth_law.md,CONSTITUTIONAL_LAW,FROZEN,true,PLACEHOLDER,2026-06-24,PLACEHOLDER
constitution/witness_law.md,CONSTITUTIONAL_LAW,FROZEN,true,PLACEHOLDER,2026-06-24,PLACEHOLDER
constitution/invariant_law.md,CONSTITUTIONAL_LAW,FROZEN,true,PLACEHOLDER,2026-06-24,PLACEHOLDER
vault/constitutional/immutable/IDENTITY_LAW.md,CONSTITUTIONAL_LAW,FROZEN,true,PLACEHOLDER,2026-06-24,PLACEHOLDER
vault/constitutional/immutable/REPLAY_LAW.md,CONSTITUTIONAL_LAW,FROZEN,true,PLACEHOLDER,2026-06-24,PLACEHOLDER
vault/constitutional/immutable/WITNESS_LAW.md,CONSTITUTIONAL_LAW,FROZEN,true,PLACEHOLDER,2026-06-24,PLACEHOLDER
vault/constitutional/immutable/CONSTITUTION.md,CONSTITUTIONAL_LAW,FOUNDATIONAL,false,PLACEHOLDER,2026-06-14,PLACEHOLDER
AGENT_CONSTITUTION.md,AGENT_CONSTITUTION,ACTIVE,false,PLACEHOLDER,2026-06-24,PLACEHOLDER
AUTHORITY_TAXONOMY_SPEC.md,CONSTITUTIONAL_LAW,CONSTITUTIONAL_FREEZE,true,PLACEHOLDER,2026-06-24,PLACEHOLDER
CONSTITUTION_COMPILER_SPEC.md,CANONICAL_SPEC,DRAFT,false,PLACEHOLDER,2026-06-24,PLACEHOLDER
AUTHORITY_GRAPH_VALIDATOR_SPEC.md,CANONICAL_SPEC,DRAFT,false,PLACEHOLDER,2026-06-24,PLACEHOLDER
CONSTITUTIONAL_SNAPSHOT_SPEC.md,CANONICAL_SPEC,DRAFT,false,PLACEHOLDER,2026-06-24,PLACEHOLDER
VERIFICATION_WORKER_SPEC.md,CANONICAL_SPEC,DRAFT,false,PLACEHOLDER,2026-06-24,PLACEHOLDER
COMPILER_VERIFICATION_SPEC.md,CANONICAL_SPEC,DRAFT,false,PLACEHOLDER,2026-06-24,PLACEHOLDER
